operator_id,total_incoming_calls,total_missed_incoming,total_weighted_wait_incoming,missed_rate_incoming,avg_wait_time_incoming,total_outgoing_calls,total_missed_outgoing,missed_rate_outgoing
893804,2427.0,10.0,384702.0,0.004120313143798929,158.50927070457354,3378.0,1278.0,0.3783303730017762
894120,18.0,1.0,926.0,0.05555555555555555,51.44444444444444,0.0,0.0,0.0
894224,4.0,0.0,87.0,0.0,21.75,0.0,0.0,0.0
894226,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0
894230,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
894614,8.0,1.0,155.0,0.125,19.375,0.0,0.0,0.0
894656,20.0,0.0,919.0,0.0,45.95,3167.0,1317.0,0.41585096305652036
894662,1.0,0.0,9.0,0.0,9.0,34.0,10.0,0.29411764705882354
894934,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.9473684210526315
895140,4.0,0.0,438.0,0.0,109.5,0.0,0.0,0.0
895170,11.0,0.0,189.0,0.0,17.181818181818183,0.0,0.0,0.0
895172,8.0,0.0,128.0,0.0,16.0,80.0,38.0,0.475
895266,2.0,0.0,20.0,0.0,10.0,1.0,1.0,1.0
895370,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.3
895574,96.0,3.0,4276.0,0.03125,44.541666666666664,0.0,0.0,0.0
895576,70.0,1.0,2723.0,0.014285714285714285,38.9,0.0,0.0,0.0
895578,57.0,0.0,2147.0,0.0,37.666666666666664,0.0,0.0,0.0
895598,3.0,0.0,32.0,0.0,10.666666666666666,2.0,1.0,0.5
895774,13.0,0.0,357.0,0.0,27.46153846153846,105.0,50.0,0.47619047619047616
895776,12.0,1.0,238.0,0.08333333333333333,19.833333333333332,238.0,102.0,0.42857142857142855
895782,13.0,0.0,430.0,0.0,33.07692307692308,0.0,0.0,0.0
895786,36.0,0.0,2903.0,0.0,80.63888888888889,0.0,0.0,0.0
896010,10.0,0.0,316.0,0.0,31.6,2.0,2.0,1.0
896012,244.0,1.0,7691.0,0.004098360655737705,31.520491803278688,0.0,0.0,0.0
